parkid,rectypeid,amenityid,created_us,created_da,last_edite,last_edi_1,amentype,courtsurf,courtsize,courtlight,courtfence,fieldsurf,fldplayage,fieldlight,fieldfence,football,cricket,lacrosse,soccer,fhockey,softball,baseball,sheltype,shelsurf,shellight,shelelec,shelwater,shelrstrm,shelgrill,shelcap,playsurf,playada,playage,recrmrent,recgym,recfitctr,recpool,reclockrm,recomplab,recindoor,reservable,managedby,tball,amenstatus
LATN,PARKSP,07,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Closed
LATN,INTERP,02,,,PARKEDITOR,1/3/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Closed
LATT,INTERP,01,,,PARKEDITOR,1/3/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Closed
KING,GRNSPC,01,PARKEDITOR,1/19/2022,PARKEDITOR,1/19/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
KING,PLYGRD,01,PARKEDITOR,1/19/2022,PARKEDITOR,1/19/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Synthetic,,,,,,,,,,,Mecklenburg,,Open
PILP,GRNSPC,02,PARKEDITOR,1/20/2022,PARKEDITOR,1/20/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Pineville,,Open
KING,PICNIC,01,PARKEDITOR,1/19/2022,PARKEDITOR,1/19/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
PILP,SWINGS,02,PARKEDITOR,1/20/2022,PARKEDITOR,1/20/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Pineville,,Open
FREE,PARKSP,05,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
AMSG,BALLFD,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,FIELD,,,,,Grass,,,,,,,,,,Yes,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
AMSG,TRCRUN,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
BRMS,MULTFD,01,PARKEDITOR,5/29/2020,PARKEDITOR,1/21/2022,FIELD,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
AMSG,BALLFD,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,FIELD,,,,,Grass,,,,,,,,,Yes,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
AMSG,MULTFD,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,FIELD,,,,,,,,,Yes,,,Yes,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
CSDC,PARKSP,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
CSDC,TENNCT,05,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
PUHU,DOGPK,01,PARKEDITOR,1/21/2022,PARKEDITOR,4/14/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Matthews,,Open
PUHU,PARKSP,02,PARKEDITOR,1/21/2022,PARKEDITOR,4/14/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Matthews,,Open
CSDC,TENNCT,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
CSDC,TENNCT,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
CSDC,TENNCT,03,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
CSDC,TENNCT,04,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
PILP,PLYGRD,03,PARKEDITOR,5/26/2020,PARKEDITOR,5/31/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Pineville,,Open
CSDC,TENNCT,08,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
HOBP,PARKSP,02,PARKEDITOR,5/29/2020,PARKEDITOR,1/21/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
HOBP,PIKBAL,03,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
HOBP,PIKBAL,04,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
HOBP,PIKBAL,05,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
HOBP,PIKBAL,06,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
CSDC,TENNCT,06,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
CSDC,TENNCT,07,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
HOBP,WALKTR,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
HOBP,WALKTR,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
LNCE,PLYGRD,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
LNCE,SWINGS,03,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
NMPK,MULTFD,01,,,PARKEDITOR,1/21/2022,FIELD,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
HOBP,PIKBAL,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
HOBP,PIKBAL,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,Hard Court,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
NMPK,MULTFD,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,FIELD,,,,,,,,,,,,Yes,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
CANP,WALKTR,03,PARKEDITOR,3/6/2020,PARKEDITOR,1/21/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
LNCE,PLYGRD,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
TCES,GAGABL,03,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
DBWP,WALKTR,01,,,PARKEDITOR,1/21/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
JHWP,MULTFD,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,FIELD,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
BRRC,MULTFD,01,PARKEDITOR,6/2/2020,PARKEDITOR,1/21/2022,FIELD,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
JHWP,MULTFD,01,PARKEDITOR,6/2/2020,PARKEDITOR,1/21/2022,FIELD,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
JWRC,MULTFD,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,FIELD,,,,,Grass,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
ROBB,TENNCT,01,,,PARKEDITOR,1/21/2022,COURT,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
ROBB,PIKBAL,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
ROBB,PIKBAL,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
TRCP,TENNCT,02,PARKEDITOR,6/2/2020,PARKEDITOR,1/21/2022,COURT,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
TRCP,PIKBAL,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
TRCP,PIKBAL,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,COURT,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
BDHP,GRNSPC,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Davidson,,Open
ADAJ,PLYGRD,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Davidson,,Open
ADAJ,PLYGRD,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Davidson,,Open
ADAJ,SWINGS,01,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Davidson,,Open
CLAN,SWINGS,01,PARKEDITOR,8/13/2020,PARKEDITOR,1/21/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,VOLYBL,03,PARKEDITOR,3/25/2022,PARKEDITOR,3/25/2022,COURT,Sand,,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,VOLYBL,04,PARKEDITOR,3/25/2022,PARKEDITOR,3/25/2022,COURT,Sand,,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,VOLYBL,05,PARKEDITOR,3/25/2022,PARKEDITOR,3/25/2022,COURT,Sand,,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
BRWD,PLYGRD,01,PARKEDITOR,3/25/2022,PARKEDITOR,3/25/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,VOLYBL,06,PARKEDITOR,3/25/2022,PARKEDITOR,3/25/2022,COURT,Sand,,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,VOLYBL,07,PARKEDITOR,3/25/2022,PARKEDITOR,3/25/2022,COURT,Sand,,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
BRWD,SWINGS,01,PARKEDITOR,3/25/2022,PARKEDITOR,3/25/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,DOGPK,01,PARKEDITOR,3/28/2022,PARKEDITOR,3/28/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
ABBT,PLYGRD,02,PARKEDITOR,3/28/2022,PARKEDITOR,3/28/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,DOGPK,02,PARKEDITOR,3/28/2022,PARKEDITOR,3/28/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,VOLYBL,01,PARKEDITOR,3/25/2022,PARKEDITOR,3/25/2022,COURT,Sand,,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,VOLYBL,02,PARKEDITOR,3/25/2022,PARKEDITOR,3/25/2022,COURT,Sand,,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,SKTPRK,01,PARKEDITOR,3/25/2022,PARKEDITOR,3/25/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
PKRD,PICNIC,11,PARKEDITOR,3/28/2022,PARKEDITOR,3/28/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
PKRD,WALKTR,05,PARKEDITOR,7/17/2020,PARKEDITOR,3/28/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
TYVS,COMGRD,01,PARKEDITOR,3/28/2022,PARKEDITOR,3/28/2022,GARDEN,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
BLTN,MULTFD,01,,,PARKEDITOR,3/28/2022,FIELD,,,,,Grass,Youth/Adult,No,No,Yes,No,Yes,Yes,Yes,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
ABBT,FITSTA,01,PARKEDITOR,3/28/2022,PARKEDITOR,3/28/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
ABRC,SWINGS,01,,,PARKEDITOR,3/28/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
ADAJ,GRNSPC,01,PARKEDITOR,5/29/2020,PARKEDITOR,2/21/2023,FIELD,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Davidson,,Open
DBWF,RESTRM,01,PARKEDITOR,8/21/2020,PARKEDITOR,6/7/2023,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
BLTN,MULTFD,03,PARKEDITOR,3/28/2022,PARKEDITOR,3/28/2022,FIELD,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
BLYT,PICNIC,11,PARKEDITOR,3/28/2022,PARKEDITOR,3/28/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CHTY,PICNIC,02,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CHTY,SHELTR,01,,,PARKEDITOR,3/29/2022,SHELTER,,,,,,,,,,,,,,,,,Concrete,No,Yes,No,No,Yes,20,,,,,,,,,,,No,Mecklenburg,,Open
CMGP,PLYGRD,01,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CMGP,PLYGRD,02,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
ABER,PICNIC,01,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
CMGP,SWINGS,01,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CHTY,TABLTN,01,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CMGP,FITSTA,01,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CHTY,PICNIC,03,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
UPST,SHELTR,01,,,PARKEDITOR,3/29/2022,SHELTER,,,,,,,,,,,,,,,,,Concrete,Yes,Yes,No,Yes,Yes,60,,,,,,,,,,,,Mecklenburg,,Open
CHTY,PICNIC,01,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CMGP,WALKTR,03,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
BAUC,SWINGS,02,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Matthews,,Open
CHAS,BSKTCT,01,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,COURT,Concrete,Half,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CHTY,WALKTR,05,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
AFRM,SHELTR,01,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,SHELTER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Davidson,,Open
BAUC,WALKTR,03,PARKEDITOR,5/26/2020,PARKEDITOR,3/29/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Matthews,,Open
UPST,WALKTR,08,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CARM,WALKTR,01,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CARM,WALKTR,02,PARKEDITOR,3/29/2022,PARKEDITOR,3/29/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
ENDP,TENNCT,01,PARKEDITOR,3/28/2022,PARKEDITOR,12/7/2022,COURT,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
ENDP,SHELTR,01,PARKEDITOR,3/28/2022,PARKEDITOR,12/7/2022,SHELTER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
COLB,BATCAG,01,PARKEDITOR,3/30/2022,PARKEDITOR,3/30/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
COLB,BOATNG,01,,,PARKEDITOR,3/30/2022,BOATING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
COLB,SWINGS,01,PARKEDITOR,3/30/2022,PARKEDITOR,3/30/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
COLB,PICNIC,10,PARKEDITOR,3/30/2022,PARKEDITOR,3/30/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
LIND,HIGHRP,01,,,PARKEDITOR,3/31/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CORP,PICNIC,01,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
NATM,WALKTR,02,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Discovery Place,,Open
LIND,PICNIC,03,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
DEVS,PLYGRD,02,,,PARKEDITOR,3/31/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
NATM,WALKTR,03,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Discovery Place,,Open
NATM,WALKTR,01,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Discovery Place,,Open
CLAN,PLYGRD,02,,,PARKEDITOR,3/31/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
CLAN,PLYGRD,03,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
CLAN,SWINGS,02,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FSPK,WALKTR,03,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FSPK,WALKTR,04,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
COPP,WALKTR,03,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
COPP,WALKTR,04,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FREE,PICNIC,09,PARKEDITOR,4/1/2022,PARKEDITOR,4/1/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FSPK,WALKTR,01,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FSPK,WALKTR,02,PARKEDITOR,3/31/2022,PARKEDITOR,3/31/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FIFP,MTNBIK,05,PARKEDITOR,4/1/2022,PARKEDITOR,4/1/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Davidson,,Open
FIFP,MTNBIK,06,PARKEDITOR,4/1/2022,PARKEDITOR,4/1/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Davidson,,Open
FREE,WALKTR,01,,,PARKEDITOR,4/1/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
GOGP,WALKTR,01,PARKEDITOR,4/1/2022,PARKEDITOR,4/1/2022,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Cornelius,,Open
COLB,MTNBIK,06,,,PARKEDITOR,4/6/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FRND,WALKTR,01,PARKEDITOR,4/1/2022,PARKEDITOR,4/1/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FREE,PICNIC,02,,,PARKEDITOR,4/1/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FRND,WALKTR,02,PARKEDITOR,4/1/2022,PARKEDITOR,4/1/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FREE,PICNIC,07,PARKEDITOR,4/1/2022,PARKEDITOR,4/1/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FREE,PICNIC,08,PARKEDITOR,4/1/2022,PARKEDITOR,4/1/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
COLB,MTNBIK,08,,,PARKEDITOR,4/6/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
COLB,MTNBIK,17,PARKEDITOR,4/6/2022,PARKEDITOR,4/6/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,MTNBIK,06,PARKEDITOR,4/6/2022,PARKEDITOR,4/6/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,MTNBIK,07,PARKEDITOR,4/6/2022,PARKEDITOR,4/6/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,MTNBIK,03,PARKEDITOR,4/6/2022,PARKEDITOR,4/6/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,MTNBIK,05,PARKEDITOR,4/6/2022,PARKEDITOR,4/6/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
RSPK,MTNBIK,02,,,PARKEDITOR,4/6/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
