OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
83,BESG,Barnette Elementary School Gymnasium,13659 BEATTIES FORD RD,13659,,BEATTIES FORD,RD,,HUNTERSVILLE,NC,28078,Recreation Center,Developed,North,,,,7047662220,,,,District 1,,,,1426486.26603986,606130.46563414,Huntersville
84,CDHP,R.C. Bradford Park,17005 DAVIDSON-CONCORD RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Town Park,Developed,North,,,,7047662220,,,,District 1,2007/07/09 00:00:00+00,,,1466888.48361003,622859.89558922,Huntersville
85,CHTY,Chantilly Park,222 WYANOKE AV,222, ,WYANOKE,AV, ,CHARLOTTE,NC,28205,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1459684.66991921,535404.78326172,Mecklenburg
86,BERE,Berewick Recreation Center,5910 DIXIE RIVER RD,5910, ,DIXIE RIVER,RD, ,CHARLOTTE,NC,28208,Recreation Center,Developed,South,,,,9803141003,,,District 3,District 2,2002/11/06 00:00:00+00,,,1408860.1380937,524108.91223726,Mecklenburg
87,PERL,Pearl Street Park,602 KENILWORTH AV,602, ,KENILWORTH,AV, ,CHARLOTTE,NC,28204,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1451264.98688589,537295.94808379,Mecklenburg
88,MLCP,Mallard Creek Park,3001 JOHNSTON OEHLER RD,3001, ,JOHNSTON OEHLER,RD, ,CHARLOTTE,NC,28269,Regional,Developed,North,,,,9803141001,,,District 4,District 1,1998/07/28 00:00:00+00,,,1475023.31981157,591399.44266404,Mecklenburg
89,BJCC,Belle Johnston Community Center,1000 JOHNSTON DR,1000,,JOHNSTON,DR,,PINEVILLE,NC,28134,Recreation Center,Developed,South,,,,7048892400,,,,District 6,,,,1433803.31626667,488956.79333688,Pineville
90,ROSM,Rosedale Nature Park,9519 ROSEWOOD MEADOW LN,9519,,ROSEWOOD MEADOW,LN,,HUNTERSVILLE,NC,28078,Town Park,Developed,North,,,,7047662220,,,,District 1,2023/07/01 00:00:00+00,,,1443275.47211917,609492.38226596,Huntersville
91,SHAM,Shamrock Park,2545 JEFF ST,2545, ,JEFF,ST, ,CHARLOTTE,NC,28205,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1467349.19254094,545361.96669634,Mecklenburg
92,EDGE,Edgehill Park,812 S EDGEHILL RD,812,S,EDGEHILL,RD,NO,CHARLOTTE,NC,28207,Neighborhood,Developed,Central,,,,9803141002,,,District 6,District 5,1998/07/28 00:00:00+00,,,1452965.17706406,533600.44830804,Mecklenburg
93,NORL,Northlake Park,10801 ALEXANDRIANA RD,10801,,ALEXANDRIANA,RD,,HUNTERSVILLE,NC,28078,Community,Undeveloped,North,,,,9803141001,,,,District 1,,,,1447585.10124959,593507.65713659,Mecklenburg
94,MLDC,Mallard Creek Recreation Center,2530 JOHNSTON OEHLER RD,2530, ,JOHNSTON OEHLER,RD, ,CHARLOTTE,NC,28269,Recreation Center,Developed,North,,,,9803141121,,,District 4,District 1,1998/08/12 00:00:00+00,,,1475333.69938931,589500.05171554,Mecklenburg
95,AFRM,Abersham Park,3314 GREY RD,3314,,GREY,RD,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,2008/04/17 00:00:00+00,,,1463087.37701525,643919.20718531,Davidson
