to Latitude,to Longitude,Zone,Easting,Northing,Zone Northing Easting Interpreted
35.1590928,-80.8577869,3200,1444771.988,518024.4086,3200 518024.4086UsFtN 1444771.988UsFtE
35.503703,-80.8612622,3200,1446084.91,643443.4135,3200 643443.4135UsFtN 1446084.91UsFtE
35.5027872,-80.8537928,3200,1448301.34,643068.5452,3200 643068.5452UsFtN 1448301.34UsFtE
35.4984021,-80.849409,3200,1449576.109,641448.4585,3200 641448.4585UsFtN 1449576.109UsFtE
35.4960388,-80.8302406,3200,1455264.528,640482.7073,3200 640482.7073UsFtN 1455264.528UsFtE
35.4928301,-80.8318115,3200,1454775.465,639323.6944,3200 639323.6944UsFtN 1454775.465UsFtE
35.4958014,-80.8326647,3200,1454541.518,640409.6493,3200 640409.6493UsFtN 1454541.518UsFtE
35.2114725,-80.9170704,3200,1427424.507,537420.9466,3200 537420.9466UsFtN 1427424.507UsFtE
35.4947714,-80.8291855,3200,1455570.025,640015.7189,3200 640015.7189UsFtN 1455570.025UsFtE
35.4981825,-80.8634397,3200,1445399.258,641446.6496,3200 641446.6496UsFtN 1445399.258UsFtE
35.4950059,-80.7961713,3200,1465396.678,639921.6245,3200 639921.6245UsFtN 1465396.678UsFtE
35.1370668,-80.768941,3200,1471179.235,509524.479,3200 509524.479UsFtN 1471179.235UsFtE
35.2338126,-80.7743494,3200,1470191.876,544757.6256,3200 544757.6256UsFtN 1470191.876UsFtE
35.1967837,-80.8919693,3200,1434818.714,531932.1646,3200 531932.1646UsFtN 1434818.714UsFtE
35.4149657,-80.8011306,3200,1463392.242,610821.6574,3200 610821.6574UsFtN 1463392.242UsFtE
35.4802059,-80.8645071,3200,1444958.73,634910.9353,3200 634910.9353UsFtN 1444958.73UsFtE
35.4741603,-80.9382258,3200,1422973.346,633131.2948,3200 633131.2948UsFtN 1422973.346UsFtE
35.4872703,-80.860135,3200,1446308.277,637457.2412,3200 637457.2412UsFtN 1446308.277UsFtE
35.4832087,-80.869548,3200,1443478.878,636031.8814,3200 636031.8814UsFtN 1443478.878UsFtE
