OBJECTID,PARK_TYPE,STATUS,PARK_ID,PROPERTY,SUM_ACRES,ShapeSTArea,ShapeSTLength
220,NEIGHBORHOOD PARK,DEVELOPED,WEPK,ROMARE BEARDEN PARK,5.09255342,221830.744291211,1934.08221487023
221,NEIGHBORHOOD PARK,DEVELOPED,WEST,WESTERLY HILLS PARK,12.51236771,545036.494152344,5649.54587878303
222,NEIGHBORHOOD PARK,DEVELOPED,WILM,WILMORE PARK,1.27237451,55424.4404076172,1419.731355107
223,NEIGHBORHOOD PARK,DEVELOPED,WING,WINGATE PARK,2.79330576,121675.799227734,1485.27665927472
224,NEIGHBORHOOD PARK,DEVELOPED,WINT,WINTERFIELD PARK,13.7540614,599124.52903418,4948.28649371867
225,NEIGHBORHOOD PARK,DEVELOPED,WMJP,WEST MECKLENBURG PARK,4.08524984,177952.830552734,1706.9132682972
226,NEIGHBORHOOD PARK,DEVELOPED,YORK,YORKMONT PARK,2.62214987,114220.451430273,1367.42735187735
227,NEIGHBORHOOD PARK,UNDER CONSTRUCTION,DOWD,DOWD PARK,0.92517217,40300.2723751953,938.186060608726
228,NEIGHBORHOOD PARK,UNDEVELOPED,BAIL,BAILEY ROAD PARK,11.84673579,516041.749866016,4382.94515659209
229,NEIGHBORHOOD PARK,UNDEVELOPED,CALD,CALDWELL PARK,28.85559537,1256944.94703418,4691.42952045623
230,NEIGHBORHOOD PARK,UNDEVELOPED,GRAH,4TH & GRAHAM PROPERTY,1.0741573,46790.0126330078,1378.95625818306
231,NEIGHBORHOOD PARK,UNDEVELOPED,GREN,GREENE STREET PARK,0.10148573,4420.68421875,280.432809259598
232,NEIGHBORHOOD PARK,UNDEVELOPED,HIDV,HIDDEN VALLEY PARK,19.95001593,869019.312126953,5559.41923533155
233,NEIGHBORHOOD PARK,UNDEVELOPED,INPP,INDEPENDENCE POINTE PARK,11.42367797,497613.360983594,5320.91013447994
234,NEIGHBORHOOD PARK,UNDEVELOPED,JOPK,JOHNSTON ROAD PARK,1.57971179,68811.7899902344,1608.58646728115
235,NEIGHBORHOOD PARK,UNDEVELOPED,RVRS,RIVERSIDE PROPERTY,2.22294248,96831.2302320312,2448.64493029064
236,NEIGHBORHOOD PARK,UNDEVELOPED,TEDD,TEDDINGTON PARK,17.44862401,760059.079605078,4460.46547613441
237,NEIGHBORHOOD PARK,UNDEVELOPED,UNIV,UNIVERSITY MEADOWS PARK,6.11961431,266569.53866875,2233.51223775516
238,RECREATION CENTER,DEVELOPED,AGRC,ARBOR GLEN OUTREACH CENTER,0.89138828,38828.7216904297,849.898521400253
239,RECREATION CENTER,DEVELOPED,ENDC,BETTE RAE THOMAS RECREATION CENTER,6.09173624,265355.096700781,2497.08186104956
240,RECREATION CENTER,DEVELOPED,GRCR,GREENVILLE RECREATION CENTER,2.44846432,106654.636069336,1319.93777588124
241,RECREATION CENTER,DEVELOPED,METO,SECOND WARD GYMNASIUM,1.40546297,61221.6975484375,1029.669727619
242,RECREATION CENTER,UNDER CONSTRUCTION,NMRC,NORTH MECKLENBURG RECREATION CENTER,44.34067845,1931472.67527227,10170.770493548
243,REGIONAL PARK,DEVELOPED,IDLE,IDLEWILD ROAD PARK,128.3835224,5592364.4856543,13731.8190898412
244,REGIONAL PARK,DEVELOPED,AFRM,ABERSHAM PARK,345.49023042,15049493.7666773,20748.1694108006
245,REGIONAL PARK,DEVELOPED,CATW,US NATIONAL WHITEWATER CENTER,289.01089064,12589264.1825314,32548.4248968637
246,REGIONAL PARK,DEVELOPED,CDHP,R.C. BRADFORD PARK,210.85182672,9184669.17229336,15133.7406710295
247,REGIONAL PARK,DEVELOPED,COLB,COLONEL FRANCIS J. BEATTY PARK,264.5525566,11523860.6246641,21990.3917190931
248,REGIONAL PARK,DEVELOPED,DBWF,DAVID B. WAYMER AEROMODELLER PARK,139.78458383,6088992.44035938,13464.10899754
249,REGIONAL PARK,DEVELOPED,MATH,MECKLENBURG COUNTY SPORTS COMPLEX,160.74129221,7001862.79012051,12061.2029300763
250,REGIONAL PARK,DEVELOPED,FREE,FREEDOM PARK,104.89593038,4569248.3924332,12175.2903392461
251,REGIONAL PARK,DEVELOPED,H521,ELON HOMES PARK,104.42198898,4548603.1522834,11446.5686106975
252,REGIONAL PARK,DEVELOPED,HACP,HARRISBURG ROAD SPORTSPLEX,106.20417543,4626234.55264063,10417.253282667
253,REGIONAL PARK,DEVELOPED,HORN,HORNETS NEST PARK,172.00581568,7492543.47360508,13371.4616420818
254,REGIONAL PARK,DEVELOPED,JPLN,JETTON PARK,104.01018434,4530665.27450078,15894.9215173781
255,REGIONAL PARK,DEVELOPED,LTRC,ROBERT L. SMITH PARK,211.23449128,9201338.01407559,25567.8028583523
256,REGIONAL PARK,DEVELOPED,MCCP,MCALPINE CREEK PARK,109.38763669,4764906.55321094,11289.6198922517
257,REGIONAL PARK,DEVELOPED,MLCP,MALLARD CREEK PARK,310.3932698,13520676.4368568,29169.7556783525
258,REGIONAL PARK,DEVELOPED,NEVN,NEVIN PARK,196.36118401,8553459.51028926,14916.4473062731
259,REGIONAL PARK,DEVELOPED,REDY,REEDY CREEK PARK,299.02549238,13025499.0510162,16146.0769998968
260,REGIONAL PARK,DEVELOPED,RSPK,RENAISSANCE PARK,144.9680894,6314784.94268672,13941.8523118144
261,REGIONAL PARK,DEVELOPED,TMCW,T.M. WINGET PARK,149.19215254,6498783.94493828,12144.4016375593
262,REGIONAL PARK,DEVELOPED,UPST,BEREWICK PARK,197.67562297,8610689.66410723,17563.8982204275
263,REGIONAL PARK,DEVELOPED,WRDP,WILLIAM R. DAVIE PARK,106.64467215,4645423.24314746,8807.80799186833
264,REGIONAL PARK,UNDEVELOPED,BCKP,BACK CREEK PARK,126.85128099,5525618.44291406,14815.786177155
265,REGIONAL PARK,UNDEVELOPED,CLKD,EASTFIELD PARK,114.77178107,4999439.08340684,10107.9455104361
266,REGIONAL PARK,UNDEVELOPED,COOK,COOK PARK,147.15079648,6409864.34767363,11569.3299087423
267,REGIONAL PARK,UNDEVELOPED,FVRP,FAIRVIEW RD PARK,141.88196261,6180354.01644512,12925.3246607201
268,REGIONAL PARK,UNDEVELOPED,MATM,MATTHEWS-MINT HILL PARK,93.15972053,4058021.74657051,9666.72073437669
269,REGIONAL PARK,UNDEVELOPED,MCTO,MCILWAINE PARK,137.71177077,5998701.20092871,14918.9856641281
270,REGIONAL PARK,UNDEVELOPED,WEAC,WESTMORELAND PARK,99.50884193,4334588.36425449,16301.3485804565
271,SENIOR CENTER,DEVELOPED,TYVS,TYVOLA SENIOR CENTER,4.49918303,195983.679399219,1903.52634364973
