OBJECTID,PARK_TYPE,STATUS,PARK_ID,PROPERTY,SUM_ACRES,ShapeSTArea,ShapeSTLength
52,COMMUNITY PARK,UNDEVELOPED,NORL,NORTHLAKE AREA PROPERTY,26.28779374,1145091.70805762,5103.04607366917
53,COMMUNITY PARK,UNDEVELOPED,OAKH,OAK HILLS PARK,151.19105144,6585856.11570059,14849.0571264968
54,COMMUNITY PARK,UNDEVELOPED,PENN,CHARLES AND IDA GRAHAM PARK,45.46617483,1980498.22934082,7621.38453473899
55,COMMUNITY PARK,UNDEVELOPED,PNVP,PINEVILLE PARK,40.46834654,1762794.74129414,7115.97499188997
56,COMMUNITY PARK,UNDEVELOPED,REDD,REDDMAN PARK,38.77058367,1688839.55331094,6975.14295367838
57,GOLF COURSE,DEVELOPED,CTMY,CHARLES T. MYERS GOLF COURSE,309.66245228,13488842.6255592,17588.9701930358
58,NEIGHBORHOOD PARK,DEVELOPED,SOLO,SOLOMANS PARK,0.65207785,28404.3831597656,841.033486397806
59,GREENWAY,GREENWAY,SOPG,SOUTH PRONG ROCKY RIVER GREENWAY,3.85292167,167832.78528418,2730.13934317969
60,NEIGHBORHOOD PARK,DEVELOPED,TRYH,TRYON HILLS PARK,1.91008386,83202.9649527344,1208.20375629347
61,COMMUNITY PARK,UNDEVELOPED,RVRP,RIVERSIDE DRIVE,85.69057651,3732666.35804863,16695.1562108262
62,COMMUNITY PARK,UNDEVELOPED,WHIT,WHITE PARK,30.22066036,1316406.87776836,5628.94540589147
63,EVENT VENUE,DEVELOPED,MEMS,AMERICAN LEGION MEMORIAL STADIUM,13.11948549,571482.428858398,5246.89581085179
64,NEIGHBORHOOD PARK,DEVELOPED,DBLP,DOUBLE OAKS PARK,15.67944347,682993.752741797,5384.38886287345
65,GOLF COURSE,DEVELOPED,REVG,CHARLES L. SIFFORD GOLF COURSE,114.75706526,4998797.97755859,13468.3909751259
66,GOLF COURSE,DEVELOPED,RGLF,HARRY L. JONES SR. GOLF COURSE,342.33146929,14911898.384924,19069.4939500932
67,NEIGHBORHOOD PARK,DEVELOPED,GRHT,GRIER HEIGHTS PARK,5.46769866,238172.100181836,2078.5784220523
68,NATURE PRESERVE,DEVELOPED,DAVS,CLARKS CREEK NATURE PRESERVE,108.80733119,4739628.36441719,9682.45480038322
69,REGIONAL PARK,DEVELOPED,FRND,FRIENDSHIP SPORTSPLEX,4.03956726,175962.77696543,1849.59919348547
70,GOLF COURSE,DEVELOPED,SUNH,SUNSET HILLS GOLF COURSE,264.27735806,11511877.2222623,26710.3632436652
71,GOLF COURSE,DEVELOPED,TRGL,TRADITION GOLF COURSE,194.11074377,8455429.78602793,17687.3765571228
72,GREENWAY,GREENWAY,BEFD,BEATTIES FORD RD CONNECTOR,0.00548903,239.103941601562,102.767658639881
73,GREENWAY,GREENWAY,BKCG,BACK CREEK GREENWAY,133.8250785,5829396.30438301,55117.5050493
74,NATURE PRESERVE,UNDEVELOPED,TMNT,T.M. WINGET NATURE PRESERVE,116.4096328,5070783.19082031,11517.46296955
75,GREENWAY,GREENWAY,CLBG,CLEMS BRANCH GREENWAY,11.18457043,487198.031561719,7559.93216939923
76,GREENWAY,GREENWAY,CLRK,CLARKS CREEK GREENWAY,111.74562498,4867620.05900684,50525.0112929162
77,NEIGHBORHOOD PARK,DEVELOPED,DEVS,DEVONSHIRE PARK,1.48456504,64667.2831650391,1262.28214275533
78,NEIGHBORHOOD PARK,UNDEVELOPED,KING,WILMORE CENTENNIAL PARK AT SOUTHEND,1.25826495,54809.7953958984,961.041707622626
79,GREENWAY,GREENWAY,BKCT,BACK CREEK TRIBUTARY,49.62047796,2161458.70323008,16582.2342970732
80,GREENWAY,GREENWAY,BRCG,BRIAR CREEK GREENWAY,106.92723651,4657732.63699727,64771.8985883318
81,GREENWAY,GREENWAY,BRTN,BARTON CREEK GREENWAY,5.51182969,240094.23019707,6790.80664473316
82,GREENWAY,GREENWAY,CLTR,CLARKS CREEK TRIBUTARY,13.23283581,576420.30285332,8572.34488050217
83,GREENWAY,GREENWAY,CMCG,CAMPBELL CREEK GREENWAY,159.85465414,6963240.68733594,58940.9833615168
84,GREENWAY,GREENWAY,DIBG,DIXON BRANCH GREENWAY,16.843475,733698.805406836,10590.3854347078
85,GREENWAY,GREENWAY,EDBG,EDWARDS BRANCH GREENWAY,13.39441672,583458.885253711,6605.71345096051
86,GREENWAY,GREENWAY,CFCG,COFFEY CREEK GREENWAY,115.70778872,5040211.00455684,35608.6319649368
87,NEIGHBORHOOD PARK,DEVELOPED,PROG,PROGRESS PARK,0.71778248,31266.491775,712.979138516085
88,GREENWAY,GREENWAY,FBRG,FLAT BRANCH GREENWAY,28.0767386,1223017.9486459,9868.80079704477
89,GREENWAY,GREENWAY,FMCG,FOUR MILE CREEK GREENWAY,154.86684186,6745972.28800352,72198.2763549481
90,GREENWAY,GREENWAY,GCGY,GAR CREEK GREENWAY,12.64790151,550940.145855664,4194.75071622317
91,NEIGHBORHOOD PARK,UNDEVELOPED,MAYP,MAYERLING DRIVE PARK,5.55593893,242015.750460547,2271.85835151584
92,GREENWAY,GREENWAY,GUMC,GUM BRANCH GREENWAY,46.94406537,2044875.64017188,18406.2901810118
93,NEIGHBORHOOD PARK,DEVELOPED,ELIZ,ELIZABETH PARK,3.02236224,131653.502076172,2536.48738158801
94,GREENWAY,GREENWAY,IRVN,IRVIN CREEK GREENWAY,44.5815323,1941964.03014434,24291.056143602
95,NEIGHBORHOOD PARK,DEVELOPED,DRUD,DRUID HILLS PARK,6.92054024,301457.577490625,3360.70720436812
96,GREENWAY,GREENWAY,LTHP,LITTLE HOPE CREEK GREENWAY,19.50886694,849803.941185352,8951.45546380644
97,GREENWAY,GREENWAY,LTHT,LITTLE HOPE CREEK TRIBUTARY,1.69965667,74037.1662058594,2321.41768107206
98,GREENWAY,GREENWAY,LTSC,LITTLE SUGAR CREEK GREENWAY,337.99210042,14722426.4107834,144214.520421216
99,GREENWAY,GREENWAY,MCAG,MCALPINE CREEK GREENWAY,798.25274384,34771594.0832113,198545.943386814
100,GREENWAY,GREENWAY,IRWG,IRWIN CREEK GREENWAY,57.3932221,2500038.70877891,29008.4010377229
101,NATURE PRESERVE,DEVELOPED,EVER,EVERGREEN NATURE PRESERVE,77.41414574,3372147.00311621,9090.2958059876
102,GREENWAY,GREENWAY,KGSW,KINGS BRANCH GREENWAY,51.83672868,2257998.86646387,18146.1064407779
103,GREENWAY,GREENWAY,KNDB,KENNEDY BRANCH GREENWAY,1.42362046,62012.9707681641,1062.08063181688
104,GREENWAY,GREENWAY,LGCG,LONG CREEK GREENWAY,483.13176416,21044880.6825783,100290.317470659
105,NATURE PRESERVE,DEVELOPED,FBNP,FLAT BRANCH NATURE PRESERVE,42.22003027,1839096.72862461,6145.37170283012
106,NEIGHBORHOOD PARK,DEVELOPED,BRYT,BRYANT PARK,14.77402477,643553.795427148,6135.008541997
107,GREENWAY,GREENWAY,TBYC,TOBY CREEK GREENWAY,36.61762172,1595056.65862617,18459.3398373655
108,GREENWAY,GREENWAY,TRCK,TORRENCE CREEK GREENWAY,173.98967252,7578959.72566348,45246.0749578349
109,NEIGHBORHOOD PARK,DEVELOPED,LTLP,LITTLE PEOPLES PARK,0.19459616,8476.59056796875,410.585161171275
110,NEIGHBORHOOD PARK,DEVELOPED,CARM,CARMEL ROAD PARK,9.70009484,422534.588183984,2689.74189100781
111,NATURE PRESERVE,UNDEVELOPED,GCNP,GAR CREEK NATURE PRESERVE,389.29908914,16957799.2287039,42175.5593361725
112,GREENWAY,GREENWAY,MCCG,MCINTYRE CREEK GREENWAY,34.66151299,1509849.28848027,20398.2872329899
113,GREENWAY,GREENWAY,MCDG,MCDOWELL CREEK GREENWAY,228.5412188,9955215.05795117,67334.1903899383
114,GREENWAY,GREENWAY,MCKT,MCMULLEN CREEK TRIBUTARY,0.58913917,25662.7078476562,698.761854748909
115,GREENWAY,GREENWAY,MCMG,MCMULLEN CREEK GREENWAY,176.85245058,7703662.36141641,69558.0231007032
116,GREENWAY,GREENWAY,MLCG,MALLARD CREEK GREENWAY,182.40830029,7945673.22416172,92885.5017993937
117,GREENWAY,GREENWAY,NPCG,NORTH PRONG CLARKE CREEK GREENWAY,1.32158775,57568.1223453125,1285.10145905406
118,NATURE PRESERVE,DEVELOPED,RIBW,RIBBONWALK NATURE PRESERVE,186.80713718,8137286.46737578,18263.9891970832
119,GREENWAY,GREENWAY,PAWC,PAW CREEK GREENWAY,39.7419076,1731150.72101055,22852.3360248984
120,GREENWAY,GREENWAY,POLK,POLK DITCH GREENWAY,2.18770924,95296.2511970703,1924.32930329823
121,GREENWAY,GREENWAY,TRCK,TORRENCE CREEK TRIBUTARY,43.78623087,1907320.65190879,15905.6867898342
122,NEIGHBORHOOD PARK,DEVELOPED,GRAY,GRAYSON PARK,12.13351886,528533.817579492,3215.29244565317
123,GREENWAY,GREENWAY,RECG,REEDY CREEK GREENWAY,88.78367127,3867397.54436719,35423.0355470624
124,NATURE PRESERVE,DEVELOPED,BIGR,BIG ROCK NATURE PRESERVE,21.85678581,952077.812834961,6137.74171184843
125,NATURE PRESERVE,DEVELOPED,COWW,COWANS FORD WILDLIFE REFUGE,849.35193205,36997622.537477,64834.3199448177
126,NATURE PRESERVE,DEVELOPED,WBNP,WEST BRANCH NATURE PRESERVE,90.59347073,3946235.727625,8414.41455394838
127,NEIGHBORHOOD PARK,DEVELOPED,CEDR,CEDARWOOD PARK,8.59935948,374586.590281055,2656.79945212514
128,GREENWAY,GREENWAY,SCCG,SOUTH PRONG CLARKE CREEK GREENWAY,29.31940667,1277148.77455176,19429.8397583672
129,GREENWAY,GREENWAY,SMCG,SIX MILE CREEK GREENWAY,65.06967092,2834422.84548145,34556.4307125484
130,GREENWAY,GREENWAY,STCG,STEELE CREEK GREENWAY,42.86793234,1867319.94293008,21113.3055467425
131,GREENWAY,GREENWAY,STNY,STONEY CREEK GREENWAY,9.13402839,397876.534863477,5622.41073571629
132,GREENWAY,GREENWAY,STWC,STEWART CREEK GREENWAY,75.23438062,3277196.03973418,47577.1379641425
133,GREENWAY,GREENWAY,SUCG,SUGAR CREEK GREENWAY,200.55318002,8736063.21531465,67928.9048923257
134,NEIGHBORHOOD PARK,DEVELOPED,CHAS,CHARLES AVENUE PARK,0.62904042,27400.8745310547,667.034570041602
135,NEIGHBORHOOD PARK,DEVELOPED,CHTY,CHANTILLY PARK,19.48992629,848977.629094727,6088.20781726319
136,GREENWAY,GREENWAY,WABG,WALKERS BRANCH GREENWAY,54.80062124,2387105.81689395,27717.5257755281
137,GREENWAY,GREENWAY,WBRR,WEST BRANCH ROCKY RIVER GREENWAY,9.22719751,401935.318856055,4288.49314122821
138,GREENWAY,GREENWAY,WESG,WESLEY HEIGHTS GREENWAY,4.73008119,206041.275728125,4699.53441285672
139,HISTORIC SITE,DEVELOPED,ALHS,ALEXANDRIANA HISTORIC SITE,1.01275109,44115.2785052734,1086.90125197183
140,HISTORIC SITE,DEVELOPED,LATH,LATTA PLACE HISTORIC SITE,2.9880764,130159.932900195,1425.23398770179
141,HISTORIC SITE,DEVELOPED,MCIN,MCINTYRE HISTORIC SITE,1.74716162,76105.9193097656,1122.66253351452
142,NATURE PRESERVE,DEVELOPED,AUTN,AUTEN NATURE PRESERVE,300.91790808,13107919.6621187,45924.6751298379
143,NEIGHBORHOOD PARK,DEVELOPED,CLEM,CLEMSON AVENUE PARK,0.90918134,39603.7815060547,797.861432693549
144,NATURE PRESERVE,DEVELOPED,GATE,ISWA NATURE PRESERVE,138.01847009,6012059.43883555,12233.2321767696
145,NATURE PRESERVE,DEVELOPED,LATN,LATTA NATURE PRESERVE,1471.5522888,64100560.8933961,68931.9237859403
146,NATURE PRESERVE,DEVELOPED,MCDL,MCDOWELL NATURE PRESERVE,1143.22860453,49798839.9197613,104780.964820538
147,NATURE PRESERVE,DEVELOPED,PRNP,PROVIDENCE NATURE PRESERVE,48.11919969,2096064.06202637,10369.0058403008
148,NATURE PRESERVE,DEVELOPED,RENP,REEDY CREEK NATURE PRESERVE,676.72572188,29478053.8737268,38308.9653320511
149,NATURE PRESERVE,DEVELOPED,RURL,RURAL HILL NATURE PRESERVE,497.16240942,21656307.9482471,41293.9821938663
150,NATURE PRESERVE,DEVELOPED,SHRM,SHERMAN BRANCH NATURE PRESERVE,209.52786092,9126997.52197637,12600.3967286576
151,NATURE PRESERVE,DEVELOPED,STPH,BUCKEYE COVE NATURE PRESERVE,394.36269935,17178368.8907658,51400.3817129995
152,NEIGHBORHOOD PARK,DEVELOPED,MARS,MARSHALL PARK,5.49856483,239516.460741211,2285.88256607256
153,NATURE PRESERVE,UNDEVELOPED,BERR,BERRYHILL NATURE PRESERVE,167.8399132,7311077.49126055,17582.4632049086
154,NATURE PRESERVE,UNDEVELOPED,BRNH,ROCKY RIVER BLUFF NATURE PRESERVE,61.07334776,2660343.80843535,9481.09522313491
155,NATURE PRESERVE,UNDEVELOPED,FERL,FERRELLTOWN NATURE PRESERVE,42.19950026,1838202.84493828,6789.23778868146
156,NEIGHBORHOOD PARK,DEVELOPED,SIXP,SIXTEENTH STREET PARK,1.63019399,71011.0615216797,1070.3293967367
157,NATURE PRESERVE,UNDEVELOPED,OEHP,OEHLER NATURE PRESERVE,140.87826484,6136633.15327695,15026.8020794972
158,NATURE PRESERVE,UNDEVELOPED,SHFP,SHUFFLETOWN PRAIRIE NATURE PRESERVE,18.06010959,786695.311670508,7817.8875160253
159,NEIGHBORHOOD PARK,DEVELOPED,COLL,COLLINS PARK,3.6734543,160014.909522852,2057.42215461263
160,NEIGHBORHOOD PARK,DEVELOPED,COLN,COLONIAL PARK,2.49295555,108592.663238477,1629.12327865575
161,NEIGHBORHOOD PARK,DEVELOPED,CROS,FOREST PAWTUCKETT PARK,8.01470042,349118.902437109,3723.90083233545
162,NATURE PRESERVE,UNDEVELOPED,STVN,STEVENS CREEK NATURE PRESERVE,280.21079556,12205932.8218504,22001.810825131
